名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,城市,最佳景点数量
七仙岭温泉,http://travel.qunar.com/p-oi7528470-qixianlingwenquan,"

地址:
海南省保亭黎族苗族自治县七仙岭温泉旅游区1号七仙岭温泉国家森林公园	

",温泉温度最高可达95℃，现有自喷泉眼7只，日出水量7000多吨，含有多种微量元素，温泉水属硅酸重碳酸钠型水，日出水量3800多L，是海南岛探明的出水量最大、温度最高的温泉，具有清净肌肤、美容、医疗保健等功效。现已建成数家温泉度假村，可供游客度假休闲，活动内容有矿泉疗养康复、观赏民族风情、参加登山观景等。,08:00-22:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ca15dd0f2a4200e33c417529fd1f328d.jpg_480x360x95_127bbe0c.jpg,5.0,建议游览时间：6小时,四季皆宜。,30元,,1,保亭,16
安庆寺,http://travel.qunar.com/p-oi39773269-anqingsi,,,,,5.0,,,,,2,周口,16
二佛寺,http://travel.qunar.com/p-oi703238-erfosi,"

地址:
四川自贡市


电话:
86-28-8608095 886080393

",荣县二佛寺沿崖林立，造像上千尊，唐宋时名“浮图崖”，亦称千佛崖。因其众多佛像装金饰彩，阳光照射，金碧辉煌，故又称“金碧崖”。佛像为唐代开凿的弥勒坐佛，佛高5.8米，宽2.6米。左右龛壁上，刻有28小龛120尊造佛。,9:00-18:00,https://img1.qunarzz.com/p/tts7/1712/1b/abc71ad5e259a302.jpg_480x360x95_fc4d597b.jpg,5.0,,,20元,,2,自贡,16
清真西寺,http://travel.qunar.com/p-oi709075-qingzhenxisi,,位于保定市清真寺街15号。保定市原有清真寺9座，现开放的有8座。清真西寺是其中规模最大、历史最久的一座。它始建于明万历四十四年（1616年），修有正殿3间、讲堂及水房，清未民初又以几次扩建修整始具规模。现寺内有房59间，正殿20间，南北讲堂12间，水房18间及工具房、配房等。寺内还有大小碑刻6通。整个寺院保存完好,,https://img1.qunarzz.com/travel/d9/1703/22/da35bfe3b9ac60b5.jpg_480x360x95_43e8d90f.jpg,5.0,,,,,3,保定,15
古宇湖Guyu Lake,http://travel.qunar.com/p-oi713715-guyuhu,"

地址:
内江市隆昌市古湖街道环湖路


电话:
0832-3939535

",古宇湖位于内江市东隆昌县境内，距县城2公里。风景区包括鹅洞飞瀑、古牌坊群、云峰关、云顶寨、云顶场、圣灯山及古宇湖等。古宇湖中岛屿和半岛较多，冬季是候鸟栖息的乐园，很多人来此观鸟。古宇湖是70年代修建的人工中型湖泊，湖中岛屿和半岛较多，冬季是候鸟栖息的乐园。景区内有环湖公路，适合环湖骑行。湖的周围遍布农家乐，尝尝当地美食也是不错的选择。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/2acd2fe6716b31316d803d5de9b92135.jpg_480x360x95_36268fa8.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1,内江,15
清代立交桥,http://travel.qunar.com/p-oi7475904-qingdailijiaoqiao,"

地址:
雅安市雨城区上里古镇

",高桥又称清代立交桥，桥面高起，距离水面有十多米，桥身平坦宽阔——这样的设计既保证了人流货运的畅通，也保证了丰水季节的出入安全。高桥是上里古镇过去最大的一座桥梁，也是南丝路驿道进入古镇的主要通道。值得一提的是，在这座石桥东西两端的桥身之下，还各建有一人行通道，这样桥上、桥下皆可通行，被当地人誉为清代的“立交桥”。想当年，高桥上马帮铃响，络绎不绝，桥下则人流如注，来往喧嚣。古镇的热闹，丝路的繁华，在这高桥身上可窥一斑。,全天,https://img1.qunarzz.com/travel/poi/1409/17/4811d34fc56085bffffffffc8d65eac.jpg_480x360x95_09fef857.jpg,5.0,建议游览时间：0.5小时,四季皆宜。,免费,,2,雅安,15
神州半岛灯塔,http://travel.qunar.com/p-oi38603121-shenzhoubandaodengta,,"神州半岛位于万宁市东澳镇，这里的灯塔不仅是海港的守望者，还成为了地标性景点。沿着深入海中的护堤走进去就来到了灯塔脚下。在碧蓝大海的映衬下，红白相间的灯塔格外清新。傍晚时分，在晚霞和海水的映衬下，多彩梦幻的画面便呈现在眼前，让人沉浸在一眼天涯的浪漫中。
",,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/26a6baadc09fc8e7c133b1d2e73815fd.jpeg_480x360x95_3b16a170.jpeg,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2,万宁,14
中国石油大学,http://travel.qunar.com/p-oi9534915-zhongguoshiyoudaxue,"

地址:
东营市东营区北一路739号


电话:
13805468864


官网:
http://www.upc.edu.cn/

",中国石油大学东营校区地处黄河三角洲的中心城市、生态之城、石油之城，山东东营。建校60多年来，学校形成了鲜明的办学特色，办学实力和办学水平不断提高。在新的历史时期，学校坚持特色发展，开放发展，和谐发展，正在向着“建设国内著名、石油学科国际一流的高水平研究型大学”的办学目标奋力迈进。而且校区内风光秀丽，浓重的文学氛围在这里环绕，让人流连忘返。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/86f1c5719e2dbd9c1970c6a6bdf36b9d.jpg_480x360x95_f63e81ed.jpg,5.0,建议游览时间：2小时 - 3小时,,免费,,1,东营,14
四礵列岛,http://travel.qunar.com/p-oi38803653-sishuangliedao,,四礵列岛由北礵、南礵、东礵、西礵等18个岛屿及17个礁石组成，岛上风景秀丽，各种各样的礁石，还有狮子峰、皇帝帽等自然景观，是一个看日出、赏日落的好地方。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1,宁德,14
中国人民抗日军政大学第七分校,http://travel.qunar.com/p-oi36272957-zhongguorenminkangrijun,,中国人民抗日军政大学第七分校位于庆阳市华池县，是由抗大附属陆军中学、二分校附属中学和三分校组建而成，有着重要的历史纪念意义。,,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2,庆阳,14
白马寺,http://travel.qunar.com/p-oi714380-baimasi,,在金溪黄通乡黄通村东南5公里的白马峰上，始建于北宋初年。相传本地一江姓进士隐居家后，在山顶盖起一屋，取名“玉马祠”，后一吴僧在屋旁建起一幢寺庙。一日，吴僧迎来一位身骑白马的道长，二人对话片刻，见栓在寺外的白马腾空而起，道长也无踪无影。于是，吴僧便将此寺命名为“白马寺”。“文革”期间，白马寺被毁。1978年后，白马寺拔地而起。1992年，经县人民政府批准对外开放。新建的白马寺古色古香，寺中大雄宝殿金碧辉煌，寺左石砌“古城”形象逼真。寺东数百步有一悬崖石壁，...在金溪黄通乡黄通村东南5公里的白马峰上，始建于北宋初年。相传本地一江姓进士隐居家后，在山顶盖起一屋，取名“玉马祠”，后一吴僧在屋旁建起一幢寺庙。一日，吴僧迎来一位身骑白马的道长，二人对话片刻，见栓在寺外的白马腾空而起，道长也无踪无影。于是，吴僧便将此寺命名为“白马寺”。“文革”期间，白马寺被毁。1978年后，白马寺拔地而起。1992年，经县人民政府批准对外开放。新建的白马寺古色古香，寺中大雄宝殿金碧辉煌，寺左石砌“古城”形象逼真。寺东数百步有一悬崖石壁，高达数十米，俗称“仙女照镜”。寺后有一棋盘井，终年清泉潺潺，供寺庙烧香待客、僧侣沐浴之用。千变万化的四时景色，以及诸多的美丽传说，每年都要吸引数千名香客游人前往烧香旅游。,,https://img1.qunarzz.com/travel/d1/201407/26/4f3f9a017b0e8167c8d65eac.jpg_480x360x95_36f9b281.jpg,5.0,,,,,1,抚州,14
罗什寺塔,http://travel.qunar.com/p-oi716387-luoshensita,,矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜...矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜地也”。现存罗什寺塔八角十二层，高32米，全以条形方砖砌成。从下起第三、五、八层均没门，顶部是葫芦形的铜质宝瓶，最上层东西各有小佛龛，龛内有佛像，据说是真金的。,,https://img1.qunarzz.com/piao/fusion/1805/2d/85bcba0eed283f02.jpg_480x360x95_962d86af.jpg,5.0,,,,,1,武威,14
东北神学院,http://travel.qunar.com/p-oi36216001-dongbeishenxueyuan,,东北神学院位于华夏民俗村内，这里景色优美，一到秋天，造型奇特的“古木”枝藤蔓绕，远处的教堂，悬空的“树屋”，眼前的红枫、黄叶和绿树，这些都让人仿佛置身于仙境中。,,https://flight-feed.qunarzz.com/as3/450/image/2022/12/055dfa7a-776f-4192-8352-a711129cdb0c.jpeg_480x360_1403c35e.jpeg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,沈阳,14
红龙湖公园,http://travel.qunar.com/p-oi711255-honglonghugongyuan,"

地址:
泸州市古蔺县城北部

",红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上...红龙湖省级森林公园位于古蔺县城北部，距县城区19.5公里，与黄荆景区紧密相连，面积达30平方公里。整个湖区由红龙湖、月儿湖、琴蛙湖等大小7个湖泊组成，象七颗璀灿的明珠镶嵌在海拨1600多米的崇山峻岭之中，最高峰新街坪达845米。湖区四周青山环抱，绿树掩映，水如明镜，湖中小船漫游，鱼歌悠悠。细雨蒙蒙时，四周高山葱笼翠绿，云雾缠绕其间，似玉带缠腰；以红龙湖为中心的水面，则薄雾缭绕，亲临红龙，如入仙山美景。夏日炎炎，这里凉爽舒适、空气清新、花香鸟语、格外幽静、湖区上下一片绿色的海洋，使人心旷神怡；隆冬季节，这里银装素裹，白雪皑皑，玉树琼花，一派北国风光，独特的南方雪景，更令人心醉神迷。离红龙湖三公里处的虎头山，地形险要，景观奇特，可观日出、云海；湖区舍身岩下的白水湖景区形势险峻，奇景众多，与正在实施的龙爪河引水工程连为一体，形成十里长湖，成为川南最具特色的避暑、度假、旅游的理想圣地。,7:30-18:30,,5.0,,,8元,,2,泸州,14
民权国家森林公园,http://travel.qunar.com/p-oi38961074-minquanguojiasenlingong,,,,,5.0,,,,,4,商丘,13
动物标本博物馆,http://travel.qunar.com/p-oi37806568-dongwubiaobenbowuguan,,动物标本博物馆里面有恐龙化石，各种各样的动物标本，逼真的动物音效，适合带孩子来游玩学习。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,德州,13
昭阳区守望乡宋家山,http://travel.qunar.com/p-oi39600117-zhaoyangqushouwangxiang,,,,,5.0,,,,,2,昭通,13
淮北四季榴园,http://travel.qunar.com/p-oi38932862-huaibeisijiliuyuan,,,,,5.0,,,,,1,淮北,13
大桂山,http://travel.qunar.com/p-oi713277-daguishan,"

地址:
平南县东，在平南与藤县交界处，距县城约20公里


电话:
 0774-5035151

",大桂山风景区位于平南县东，在平南与藤县交界处，距县城约20公里，有简便公路直通景区，由丹竹镇往东平水库，乘船亦可达景区腹地大桂山风景区，由大桂峡谷(俗称石巷)和峡谷附近的天然森林公园两个主景点，以及附近的东平水库库区、大桂林场、团罗茶场等景点组成。大桂峡谷在大桂山最深处，长约8公里，高约30米，两边是陡立的石壁，峡谷最窄处仅两三米宽，谷底为石面，泉水在石面上涓涓而流。人在峡谷穿行，踏着清凉的泉水，仰望崖壁，可见到各种绿藤怪树，奇草野花，还可听到各种陌生...大桂山风景区位于平南县东，在平南与藤县交界处，距县城约20公里，有简便公路直通景区，由丹竹镇往东平水库，乘船亦可达景区腹地大桂山风景区，由大桂峡谷(俗称石巷)和峡谷附近的天然森林公园两个主景点，以及附近的东平水库库区、大桂林场、团罗茶场等景点组成。大桂峡谷在大桂山最深处，长约8公里，高约30米，两边是陡立的石壁，峡谷最窄处仅两三米宽，谷底为石面，泉水在石面上涓涓而流。人在峡谷穿行，踏着清凉的泉水，仰望崖壁，可见到各种绿藤怪树，奇草野花，还可听到各种陌生的鸟儿在山上发出悦耳的叫声。大桂山除了秀丽奇险的自然风景外，还有近十多年来地方政府及集体、个人投资开发的大面积的经济林和连片的茶场，经济林约为40000多亩，以玉桂、龙眼、荔枝、柑桔和竹子为主。茶场约6000多亩，是获得广西区优产品称号的团罗茶生产基地，苍翠的茶林象绿色的腰带，一道道绕在山坡上。春夏晴和，采茶女散落在茶场里，鲜艳的服饰飘动在万绿丛中，偶有山歌悠扬而起，更使游人留连忘返。,8:00-17:00,,5.0,,,,,1,贵港,13
资兴观澜书院,http://travel.qunar.com/p-oi38876658-zixingguanlanshuyuan,,,,,5.0,,,,,1,郴州,13
开河寺Kaihe Temple,http://travel.qunar.com/p-oi709031-kaihesi,,开河寺位于平定县乱流村西的魁头山腹，这里山峰突兀，松柏参天。此寺创建于北魏永平三年（510）。寺内有上、中、下三龛，大小佛像百余尊，佛像大者高4.4米，小者仅高0.12米，其造像风格和神态与大同云冈石窟佛像如出一辙，故有“三晋小云冈”之称。,,https://img1.qunarzz.com/travel/poi/1803/3b/352d1423d6b85537.jpg_480x360x95_c468cda5.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1,阳泉,13
董氏砖雕墓,http://travel.qunar.com/p-oi703881-dongshizhuandiaomu,,在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、...在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、丑五个戏俑，生动活泼，维妙维肖，是我国早期戏剧表演艺术的再现，为研究宋金戏剧提供了宝贵的资料。,,,5.0,,,,,3,临汾,12
雪岭云杉自然保护区,http://travel.qunar.com/p-oi702378-xuelingyunshanziranbao,"

地址:
新疆伊犁地区巩留县东南60千米

",,9:00-17:00,https://img1.qunarzz.com/travel/poi/1408/20/5e591bf183934183ffffffffc8d65eac.jpg_480x360x95_0c817e06.jpg,5.0,建议游览时间：2小时,,30元,,4,伊犁,12
响洪甸,http://travel.qunar.com/p-oi701638-xianghongdian,,位于西淠河流域，主要风景有响洪甸水库、齐山、莲花山等处。响洪甸水库：响洪甸水库坐落在响洪甸镇驻驾湾村的西淠河上，坝型为半径同心圆混凝土重力坝，坝高875米，弧长304米，横臣于苍山云海之间，库区通航里程多20公里，烟波浩渺、碧水千里、两岸山峰峙，重峦迭翠被誉为皖西的“小桂林”。齐 山：在库区的响齐办事处、响洪甸镇之间，一面依山，三面环水。《六安州志称》：齐山因“顶峰而平，故名”。齐山拥雾，旧为六安州八景之一。,,,5.0,,,,,2,六安,12
艾雅康鸟类生态博物馆,http://travel.qunar.com/p-oi39036238-aiyakangniaoleishengtai,,“艾雅康鸟类生态博物馆”是世界首个以鸟文化为主题的博物馆。是世界生态组织鸟类生态科普基地和中国青少年鸟类科普实践教育基地。博物馆从“文化科普性、科技娱乐性、展示艺术性、生态教育性、商业体验性”五个维度，运用当代全球最先进的声光电和人机交互等高科技手段，将世界珍稀鸟类惟妙惟肖地展示在观众面前。场馆分10个主题展厅，依次是：鸟文化主旨大厅、鸟类进化之路、岩洞神鸟传说、飞鸟意境殿堂、穿越时空隧道、遨游天空之旅（ AR 人机互动）、万鸟光影神庙、羽诉千古情缘、逐梦艺术空间、魔术娱乐互动等。徜徉其间，观众会了解鸟类演化历程、鸟类基本知识及当下鸟类生存状态，并通过体验互动和文创产品的品赏，在趣味性游玩中不知不觉地增长知识，从而产生保护鸟类保护自然的生态意识，与“鸟王”艾雅康一起，去践行“绿水青山”伟大思想，让我们的生活永远是鸟语花香。朋友，欢迎你的到来！,,,5.0,建议游览时间：2小时 - 3小时,,,,4,凉山,12
和田胡杨林Hetian Populus Euphratica,http://travel.qunar.com/p-oi713128-hetianhuyanglin,"

地址:
新疆维吾尔自治区于田县塔里木河畔

",胡杨林公园位于新疆轮台县境内的塔里木河畔。这里生长着大量的原始胡杨林。秋季，一片片金黄色的胡杨陪伴着沙漠，自然景色美极了。主要以胡杨林为依托、沙漠公路穿其而过之优势，开发出面积500余公顷的旅游带。公园里胡杨林、沙滩、湖泊，惹来无数中外旅客前来玩赏。,全天,https://img1.qunarzz.com/travel/d5/1510/fb/ad4495b260966.jpg_480x360x95_78b65692.jpg,5.0,建议游览时间：3天,,免费,,1,和田,12
